fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2024-KAL-0221,2024-08-13,Kalaburagi,Bhatia Chowk,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2024-UDU-0222,2024-02-12,Udupi,Talwar Marg,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2024-DAV-0223,2024-07-07,Davanagere,Mani Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-VIJ-0224,2024-04-10,Vijayapur,Shah Marg,Theft,BNS 303,shop till theft,closed,True
FIR-2024-CHI-0225,2024-11-21,Chickballapura,Maharaj Road,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-DHA-0226,2025-10-18,Dharwad,Tella Circle,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-BEL-0227,2025-07-18,Belagavi,Sabharwal Ganj,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-MYS-0228,2025-08-27,Mysuru,Dhawan Ganj,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-KOL-0229,2024-04-02,Kolar,Dhawan Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-MYS-0230,2025-01-02,Mysuru,Babu Road,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-UDU-0231,2025-08-06,Udupi,Basu Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,court-pending,True
FIR-2025-KAL-0232,2025-09-10,Kalaburagi,Bhatia Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-CHI-0233,2024-04-26,Chickballapura,Maharaj Road,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-KOL-0234,2024-07-03,Kolar,Rau Nagar,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-BAL-0235,2024-06-23,Ballari,Raj,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-KAL-0236,2024-08-23,Kalaburagi,Butala Nagar,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-DHA-0237,2025-11-25,Dharwad,Saha Nagar,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-DAV-0238,2024-05-17,Davanagere,Keer Street,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-VIJ-0239,2025-01-19,Vijayapur,Walia Nagar,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-MAN-0240,2025-07-24,Mandya,Dhawan Chowk,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-DAK-0241,2025-04-02,Dakshina Kannada,Sankaran Chowk,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-KAL-0242,2024-04-03,Kalaburagi,Bhatia Chowk,Murder,BNS 103,property dispute,closed,True
FIR-2025-KOL-0243,2025-03-25,Kolar,Bhat Chowk,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-MAN-0244,2025-02-13,Mandya,Dhawan Chowk,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-RAI-0245,2024-10-18,Raichur,Dugal Street,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2024-DHA-0246,2024-06-28,Dharwad,Bhardwaj Path,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2025-CHI-0247,2025-07-30,Chickballapura,Sidhu Chowk,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-BAL-0248,2025-11-24,Ballari,Contractor Zila,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-RAI-0249,2024-03-18,Raichur,Savant Ganj,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-BEL-0250,2024-12-30,Belagavi,Magar Zila,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-HAS-0251,2025-01-15,Hassan,Sampath Path,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0252,2025-05-04,Raichur,Sura,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2024-MAN-0253,2024-11-29,Mandya,Saran Marg,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2025-UDU-0254,2025-01-16,Udupi,Basu Chowk,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2024-KAL-0255,2024-07-19,Kalaburagi,Rajan Road,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2024-BEL-0256,2024-09-17,Belagavi,Banik Street,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-RAI-0257,2025-08-12,Raichur,Savant Ganj,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-SHI-0258,2025-09-20,Shivamogga,Ravi Marg,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-SHI-0259,2024-08-21,Shivamogga,Master Street,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-DAV-0260,2025-11-08,Davanagere,Singhal Nagar,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-BEL-0261,2024-03-26,Belagavi,Deol Street,NDPS,NDPS Act 20,street-level peddling,court-pending,True
FIR-2025-KAL-0262,2025-10-03,Kalaburagi,Rajan Road,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-BAG-0263,2024-06-30,Bagalkot,Rastogi Path,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-MAN-0264,2024-11-11,Mandya,Dhawan Chowk,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-MAN-0265,2025-07-15,Mandya,Gala Street,Murder,BNS 103,gang rivalry,charge-sheeted,True
FIR-2025-DAV-0266,2025-09-19,Davanagere,Singh Nagar,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-BAG-0267,2024-04-23,Bagalkot,Rastogi Path,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-BEN-0268,2024-08-26,Bengaluru City,Sankaran Chowk,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2024-RAI-0269,2024-03-14,Raichur,Amble Circle,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BEL-0270,2024-02-04,Belagavi,Sabharwal Ganj,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-BEL-0271,2025-06-17,Belagavi,Deol Street,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2024-BEN-0272,2024-11-28,Bengaluru City,Brar Zila,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-TUM-0273,2024-09-11,Tumakuru,Sahota,Robbery,BNS 309,ATM-exit targeting,closed,True
FIR-2024-RAI-0274,2024-11-20,Raichur,Dugal Street,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-BAG-0275,2025-12-24,Bagalkot,Lad Ganj,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-MAN-0276,2025-07-08,Mandya,Dhawan Chowk,Theft,BNS 303,pickpocketing in transit,under-investigation,True
FIR-2024-HAS-0277,2024-09-01,Hassan,Bath Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-HAS-0278,2025-02-23,Hassan,Bath Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-BEL-0279,2024-07-15,Belagavi,Magar Zila,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-CHI-0280,2025-11-02,Chickballapura,Rattan Chowk,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2024-VIJ-0281,2024-03-20,Vijayapur,Kanda Chowk,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-MAN-0282,2025-10-15,Mandya,Dhawan Chowk,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-BAG-0283,2025-09-06,Bagalkot,Lad Ganj,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-RAI-0284,2024-09-03,Raichur,Savant Ganj,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-SHI-0285,2024-01-07,Shivamogga,Dewan Chowk,Theft,BNS 303,shop till theft,court-pending,True
FIR-2024-KAL-0286,2024-12-30,Kalaburagi,Rajan Road,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-CHI-0287,2024-11-28,Chickballapura,Sidhu Chowk,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-UDU-0288,2025-08-13,Udupi,Talwar Marg,Murder,BNS 103,property dispute,convicted,True
FIR-2025-SHI-0289,2025-10-09,Shivamogga,Sachdev Circle,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-KOL-0290,2025-09-01,Kolar,Dhawan Street,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-DHA-0291,2025-05-28,Dharwad,Venkatesh Marg,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-HAS-0292,2025-03-16,Hassan,Bath Chowk,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2024-BAL-0293,2024-05-29,Ballari,Arya Road,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-BEN-0294,2024-10-21,Bengaluru City,Jayaraman Nagar,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-KAL-0295,2025-05-09,Kalaburagi,Butala Nagar,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEN-0296,2024-10-04,Bengaluru City,Majumdar Street,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-UDU-0297,2024-08-24,Udupi,Talwar Marg,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2025-CHI-0298,2025-06-26,Chickballapura,Maharaj Road,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-RAI-0299,2024-01-31,Raichur,Dugal Street,Cheating,BNS 318,land document forgery,closed,True
FIR-2025-HAS-0300,2025-09-11,Hassan,Sampath Path,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-KOL-0301,2025-12-06,Kolar,Wable Chowk,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-BEL-0302,2025-06-29,Belagavi,Sabharwal Ganj,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DAK-0303,2024-07-11,Dakshina Kannada,Sankaran Chowk,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2024-CHI-0304,2024-03-22,Chickballapura,Sidhu Chowk,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-BEN-0305,2025-02-22,Bengaluru City,Jayaraman Nagar,Murder,BNS 103,personal enmity,closed,True
FIR-2025-CHI-0306,2025-09-23,Chickballapura,Chaudry Nagar,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-BAL-0307,2024-02-13,Ballari,Raj,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-BAG-0308,2024-10-19,Bagalkot,Bala Marg,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-RAI-0309,2025-05-27,Raichur,Savant Ganj,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BAG-0310,2024-05-06,Bagalkot,Lad Ganj,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-SHI-0311,2025-12-30,Shivamogga,Master Street,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-CHI-0312,2025-04-14,Chickballapura,Maharaj Road,Murder,BNS 103,personal enmity,court-pending,True
FIR-2025-BAG-0313,2025-02-23,Bagalkot,Kashyap Circle,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-SHI-0314,2025-11-14,Shivamogga,Master Street,Murder,BNS 103,personal enmity,closed,True
FIR-2025-RAI-0315,2025-09-01,Raichur,Savant Ganj,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-TUM-0316,2025-07-17,Tumakuru,Sahota,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2024-SHI-0317,2024-03-30,Shivamogga,Ravi Marg,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-BEN-0318,2024-07-17,Bengaluru City,Majumdar Street,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-VIJ-0319,2025-10-14,Vijayapur,Kanda Chowk,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-HAS-0320,2025-12-03,Hassan,Ganesan Marg,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-MYS-0321,2025-04-30,Mysuru,Babu Road,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-KAL-0322,2024-12-28,Kalaburagi,Dhawan,Cyber Fraud,IT Act 66D,OTP social engineering,convicted,True
FIR-2024-HAS-0323,2024-11-11,Hassan,Bath Chowk,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2024-MYS-0324,2024-04-24,Mysuru,Babu Road,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-SHI-0325,2025-06-20,Shivamogga,Master Street,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-BEN-0326,2024-04-28,Bengaluru City,Jayaraman Nagar,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2025-SHI-0327,2025-08-14,Shivamogga,Dewan Chowk,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-KAL-0328,2025-07-16,Kalaburagi,Dhawan,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-MYS-0329,2025-04-27,Mysuru,Keer,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-KAL-0330,2025-08-04,Kalaburagi,Butala Nagar,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-BEN-0331,2024-11-28,Bengaluru City,Majumdar Street,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-RAI-0332,2024-11-29,Raichur,Sura,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-TUM-0333,2025-01-28,Tumakuru,Sahota,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BEL-0334,2025-04-19,Belagavi,Banik Street,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-BEN-0335,2025-10-13,Bengaluru City,Brar Zila,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-SHI-0336,2025-08-06,Shivamogga,Ravi Marg,Theft,BNS 303,shop till theft,convicted,True
FIR-2025-RAI-0337,2025-01-13,Raichur,Sura,Murder,BNS 103,gang rivalry,under-investigation,True
FIR-2025-UDU-0338,2025-12-29,Udupi,Date Path,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-BEN-0339,2024-01-12,Bengaluru City,Brar Zila,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-DHA-0340,2025-04-11,Dharwad,Venkatesh Marg,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-MYS-0341,2025-08-13,Mysuru,Sarna Road,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-TUM-0342,2025-06-13,Tumakuru,Banik Chowk,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-CHI-0343,2025-06-08,Chickballapura,Chaudry Nagar,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-SHI-0344,2025-11-03,Shivamogga,Sachdev Circle,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-BAL-0345,2024-09-24,Ballari,Raj,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-BAL-0346,2025-01-27,Ballari,Raj,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-CHI-0347,2025-02-12,Chickballapura,Chaudry Nagar,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2025-HAS-0348,2025-01-26,Hassan,Bath Chowk,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BAL-0349,2025-04-17,Ballari,Arya Road,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2024-KOL-0350,2024-04-10,Kolar,Dhawan Street,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2024-UDU-0351,2024-05-13,Udupi,Badami Circle,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-TUM-0352,2024-06-14,Tumakuru,Sahota,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-DHA-0353,2024-04-21,Dharwad,Venkatesh Marg,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-CHI-0354,2025-04-01,Chickballapura,Sidhu Chowk,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-UDU-0355,2025-05-17,Udupi,Talwar Marg,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-TUM-0356,2024-02-26,Tumakuru,Sahota,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-MAN-0357,2025-10-07,Mandya,Dhawan Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-TUM-0358,2025-02-02,Tumakuru,Sahota,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-RAI-0359,2025-04-14,Raichur,Savant Ganj,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-MYS-0360,2024-01-15,Mysuru,Dhawan Ganj,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-UDU-0361,2024-07-26,Udupi,Basu Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEL-0362,2024-06-26,Belagavi,Deol Street,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-DAK-0363,2024-03-23,Dakshina Kannada,Sankaran Chowk,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-BAG-0364,2025-06-19,Bagalkot,Rastogi Path,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-BEN-0365,2025-03-04,Bengaluru City,Brar Zila,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-DAK-0366,2025-04-30,Dakshina Kannada,Sankaran Chowk,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-DAK-0367,2024-06-29,Dakshina Kannada,Sankaran Chowk,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DHA-0368,2024-08-21,Dharwad,Venkatesh Marg,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2024-VIJ-0369,2024-05-19,Vijayapur,Walia Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,closed,True
FIR-2025-DAK-0370,2025-09-10,Dakshina Kannada,Sarma Road,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-BAL-0371,2024-09-10,Ballari,Arya Road,Burglary,BNS 331,night house-break via rear entry,closed,True
FIR-2025-BAL-0372,2025-05-22,Ballari,Ramakrishnan Path,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-SHI-0373,2024-01-17,Shivamogga,Dewan Chowk,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-TUM-0374,2025-10-04,Tumakuru,Kala Ganj,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-MYS-0375,2025-11-21,Mysuru,Keer,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-VIJ-0376,2025-12-27,Vijayapur,Ram Zila,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-MAN-0377,2024-10-10,Mandya,Saran Marg,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-SHI-0378,2024-07-02,Shivamogga,Sachdev Circle,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-BAG-0379,2025-03-06,Bagalkot,Kashyap Circle,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-BAG-0380,2025-07-15,Bagalkot,Rastogi Path,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-MAN-0381,2024-05-31,Mandya,Saran Marg,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-HAS-0382,2024-08-31,Hassan,Ghosh Chowk,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-BEL-0383,2024-11-04,Belagavi,Magar Zila,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-SHI-0384,2025-04-30,Shivamogga,Dewan Chowk,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-RAI-0385,2024-05-22,Raichur,Sura,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2025-DAV-0386,2025-06-23,Davanagere,Mani Road,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-KAL-0387,2025-02-11,Kalaburagi,Bhatia Chowk,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-DHA-0388,2024-06-16,Dharwad,Saha Nagar,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-DAK-0389,2025-02-28,Dakshina Kannada,Madan Circle,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-BAG-0390,2024-11-07,Bagalkot,Bala Marg,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-BAL-0391,2025-12-05,Ballari,Ramakrishnan Path,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BEL-0392,2025-12-11,Belagavi,Deol Street,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-DHA-0393,2024-02-24,Dharwad,Tella Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-RAI-0394,2025-12-05,Raichur,Dugal Street,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-VIJ-0395,2025-05-30,Vijayapur,Kanda Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-SHI-0396,2024-12-16,Shivamogga,Sachdev Circle,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-VIJ-0397,2024-05-08,Vijayapur,Ram Zila,Theft,BNS 303,shop till theft,closed,True
FIR-2024-VIJ-0398,2024-02-13,Vijayapur,Kanda Chowk,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2024-MAN-0399,2024-07-23,Mandya,Varughese Zila,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-TUM-0400,2025-08-06,Tumakuru,Banik Chowk,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2025-CHI-0401,2025-05-31,Chickballapura,Chaudry Nagar,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-VIJ-0402,2025-03-10,Vijayapur,Ram Zila,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2024-UDU-0403,2024-04-28,Udupi,Basu Chowk,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-MAN-0404,2025-05-02,Mandya,Gala Street,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-BEL-0405,2025-12-12,Belagavi,Sabharwal Ganj,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-BAG-0406,2025-06-07,Bagalkot,Kashyap Circle,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2024-CHI-0407,2024-03-10,Chickballapura,Rattan Chowk,Murder,BNS 103,property dispute,closed,True
FIR-2025-BAG-0408,2025-05-19,Bagalkot,Bala Marg,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-HAS-0409,2025-04-05,Hassan,Sampath Path,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-RAI-0410,2025-11-22,Raichur,Amble Circle,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-MYS-0411,2025-08-27,Mysuru,Babu Road,Murder,BNS 103,property dispute,convicted,True
FIR-2025-MAN-0412,2025-02-25,Mandya,Varughese Zila,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2025-KOL-0413,2025-08-04,Kolar,Rau Nagar,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2024-HAS-0414,2024-12-10,Hassan,Ghosh Chowk,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
FIR-2024-MYS-0415,2024-09-28,Mysuru,Dhawan Ganj,Theft,BNS 303,shop till theft,closed,True
FIR-2024-KOL-0416,2024-12-10,Kolar,Rau Nagar,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-KOL-0417,2025-02-28,Kolar,Rau Nagar,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-VIJ-0418,2025-10-03,Vijayapur,Walia Nagar,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-VIJ-0419,2025-10-11,Vijayapur,Shah Marg,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-BAL-0420,2024-06-02,Ballari,Contractor Zila,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2024-BEN-0421,2024-05-19,Bengaluru City,Jayaraman Nagar,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-TUM-0422,2024-02-26,Tumakuru,Sahota,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-KOL-0423,2024-04-24,Kolar,Dhawan Street,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-BAL-0424,2025-02-03,Ballari,Raj,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-RAI-0425,2024-11-20,Raichur,Amble Circle,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-MYS-0426,2024-11-11,Mysuru,Keer,Cyber Fraud,IT Act 66D,fake loan app extortion,convicted,True
FIR-2024-VIJ-0427,2024-10-31,Vijayapur,Ram Zila,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-DHA-0428,2025-04-27,Dharwad,Tella Circle,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-DAK-0429,2024-02-23,Dakshina Kannada,Madan Circle,Murder,BNS 103,personal enmity,convicted,True
FIR-2025-KAL-0430,2025-12-31,Kalaburagi,Bhatia Chowk,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-MAN-0431,2024-07-22,Mandya,Gala Street,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-BAL-0432,2025-10-24,Ballari,Ramakrishnan Path,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-KAL-0433,2024-09-23,Kalaburagi,Butala Nagar,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2024-CHI-0434,2024-09-29,Chickballapura,Maharaj Road,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEN-0435,2024-05-29,Bengaluru City,Jayaraman Nagar,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2025-VIJ-0436,2025-12-10,Vijayapur,Shah Marg,Cyber Fraud,IT Act 66D,OTP social engineering,convicted,True
FIR-2025-UDU-0437,2025-05-31,Udupi,Basu Chowk,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-KOL-0438,2024-06-22,Kolar,Rau Nagar,Theft,BNS 303,shop till theft,closed,True
FIR-2024-MAN-0439,2024-10-14,Mandya,Dhawan Chowk,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-BAG-0440,2025-11-04,Bagalkot,Kashyap Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-KAL-0441,2025-04-13,Kalaburagi,Butala Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2025-BEL-0442,2025-11-24,Belagavi,Deol Street,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-CHI-0443,2024-01-30,Chickballapura,Maharaj Road,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
